game,steps,actor_cost,critic_cost,final_reward,action
119,5,-283.43657302856445,66169529.2734375,-14.044873897845928,0.0
120,2,-22.34349250793457,55182.734375,-8.0,0.0
121,3,147.14193534851074,121931576.5,2.0905028123122005,1.6362756093343098
122,2,-930.5001220703125,64724092.0,-8.0,0.0
123,3,-43.10865783691406,48354677.34814453,-108.0,5.409861085386857
124,3,43.31114101409912,21611697.431640625,-108.0,6.666666666666667
125,3,-229.2658805847168,17023614.8125,-5.707863000723032,0.0
126,2,-26.50698471069336,1278078.625,-8.0,0.0
127,2,43.883567810058594,4300445.5,-8.0,0.0
128,3,-708.7211494445801,26595301.28173828,-3.0086881197415867,3.201997183091585
129,2,351.1141357421875,56721488.0,-8.0,0.0
130,2,2458.453125,83913032.0,-8.0,0.0
131,2,103.46215057373047,42371584.0,-8.0,0.0
132,2,8.387811660766602,21368.462890625,-8.0,0.0
133,3,217.3251953125,75802835.2734375,-5.510780334472656,0.0
134,3,742.1781234741211,216560508.0,-3.518000089205228,3.2658519278059104
135,4,-165.03230794270834,53292690.041666664,-112.0,5.0
136,3,-939.3173828125,358112797.0,-108.0,6.666666666666667
137,7,922.3962809244791,282972870.3203125,-20.905531663161057,1.5197993687220983
138,3,172.96792602539062,21815941.0,-6.369773864746094,3.975671356385806
139,3,-698.1398086547852,63875201.25,-3.387334970327524,3.2172559102376304
140,3,123.99126243591309,473804.46875,-3.252987201397236,3.188147226969401
141,2,299.7040100097656,773262208.0,-8.0,0.0
142,2,140.54513549804688,120378.578125,-8.0,0.0
143,3,-489.60372161865234,167906944.0,0.206934415377102,2.438497543334961
144,3,106.20866203308105,38394078.1875,1.892233921931341,1.768752863354152
145,2,150.61328125,412741344.0,-8.0,0.0
146,2,-699.9929809570312,5694992.0,-8.0,0.0
147,3,-1663.5872116088867,393603478.0,-108.0,6.666666666666667
148,2,254.74313354492188,1224423936.0,-8.0,0.0
149,3,-239.40863800048828,13451423.3125,-0.9736468975360584,0.9723765055338541
150,3,547.0416870117188,2546200772.0,-6.47229972252479,0.0
151,2,-9648.390625,1079002880.0,-8.0,0.0
152,8,4548.610521589007,6061877048.142858,-116.01998725304236,3.0895779132843018
153,3,12464.454467773438,4852262656.0,-2.2474726163423977,0.6963809331258138
154,3,-3671.4564208984375,1753676096.0,-6.037164541391226,3.7913856506347656
155,3,-4119.138977050781,2086736448.0,-6.310302734375,4.120285897494084
156,3,958.896240234375,2444560000.0,-0.2708476139948921,1.1246496836344402
157,2,2129.665283203125,1170468352.0,-8.0,0.0
158,2,-3418.269287109375,2141242112.0,-8.0,0.0
159,2,-2299.3271484375,2187309056.0,-8.0,0.0
160,3,25.288833618164062,363934.625,-6.211813119741587,0.0
161,3,306.9065399169922,1420637675.0234375,-6.622852618877705,0.0
162,2,-295.3360595703125,644676.1875,-8.0,0.0
163,3,-5814.893798828125,1336391184.0,2.0598913339468155,1.6757392683176413
164,3,6067.427894592285,838813310.1875,0.7456841102013207,1.3448982238769531
165,2,-47.044395446777344,105842464.0,-8.0,0.0
166,3,-5994.28369140625,702067232.0,-108.0,6.666666666666667
167,4,-1454.4311930338542,9102698250.0,-112.0,4.602146148681641
168,2,-24530.205078125,47287525376.0,-8.0,0.0
169,2,574.2116088867188,4972086784.0,-8.0,0.0
170,2,1299.6719970703125,46935183360.0,-8.0,0.0
171,2,2282.94580078125,207110112.0,-8.0,0.0
172,3,1579.0596923828125,83313124664.0,-3.8496197920579167,0.40947341402728005
173,2,-39221.11328125,9351234560.0,-8.0,0.0
174,2,-56519.9296875,98378940416.0,-8.0,0.0
175,2,-2444.872802734375,25248933888.0,-8.0,0.0
176,3,224.04345703125,6327373568.0,-108.0,6.357533183162254
177,3,25426.26318359375,52769709056.0,-4.617284334622897,3.574591521136552
178,3,-518.9109497070312,14557434624.0,-1.4607030428372898,0.8697728804685241
179,2,-30022.45703125,59786252288.0,-8.0,0.0
180,2,-29952.705078125,43971256320.0,-8.0,0.0
181,3,21528.32440185547,102054060032.0,-108.0,6.666666666666667
182,2,5837.63330078125,33359771648.0,-8.0,0.0
183,3,-6802.03662109375,43942448128.0,-108.0,5.150690078735352
184,2,-4680.119140625,70965870592.0,-8.0,0.0
185,2,-10394.0703125,11010146304.0,-8.0,0.0
186,3,3449.916015625,6211375584.0,-6.187181912935697,3.823889414469401
187,2,107581.75,226386444288.0,-8.0,0.0
188,3,1423.0023956298828,52027032396.46875,-0.8938698401817904,2.677005132039388
189,3,-18586.3349609375,107451432960.0,-1.234616206242487,1.0697160047404084
190,3,17149.23046875,25139548160.0,2.6159832294170684,1.9165369669596355
191,2,2288.294189453125,223835280.0,-8.0,0.0
192,7,9171.124593098959,112484817482.0,-22.65522179236779,1.7014918592093586
193,3,-8661.829345703125,28282050560.0,-108.0,4.12667719523112
194,4,65.88262939453125,1853177206.3333333,-112.0,3.260143280029297
195,2,2247.587890625,23023812608.0,-8.0,0.0
196,3,8520.286560058594,4935085824.0,-108.0,6.666666666666667
197,2,21.63132667541504,865624.5625,-8.0,0.0
198,2,-10881.30078125,5144464896.0,-8.0,0.0
199,2,-791.67236328125,4916782080.0,-8.0,0.0
200,7,2247.3876622517905,858910171.7916666,-18.49306135911208,1.3648770431820398
201,2,206.20835876464844,419611296.0,-8.0,0.0
202,2,1149.4195556640625,85644656.0,-8.0,0.0
203,2,-21.62973403930664,30596.59375,-8.0,0.0
204,3,-1956.3955688476562,592822784.0,-5.233272845928486,3.781371822715384
205,3,690.7573661804199,54162032.0,-2.3068014291616583,3.022104561812771
206,2,305.3432922363281,286999680.0,-8.0,0.0
207,2,3581.829833984375,858320640.0,-8.0,0.0
208,3,1329.5262470245361,300621452.5708008,-0.33988042978139976,1.1096925735473633
209,2,-352.8812255859375,813890752.0,-8.0,0.0
210,2,-171.5149688720703,311795904.0,-8.0,0.0
211,3,-212.26304626464844,104465989.65625,-3.9836477132943964,0.39497049157123304
212,2,-441.6207275390625,10688767.0,-8.0,0.0
213,3,1728.617919921875,160853438.0,-2.25853890639085,0.693983236948649
214,3,-49.61977815628052,217410.296875,-3.8803053635817317,3.3315186100944794
215,3,-122.49081039428711,163074265.0,-108.0,6.199064675686152
216,2,-163.2201690673828,238550560.0,-8.0,0.0
217,3,-52.984644412994385,460458.70703125,-2.4178296602689304,3.0071964263916016
218,3,440.37466049194336,51490268.0,-2.1766072786771336,0.7117350896199545
219,2,59.22760772705078,88266224.0,-8.0,0.0
220,3,12.905808448791504,5134556.902648926,-108.0,5.915301005045573
221,2,-2522.9765625,86974736.0,-8.0,0.0
222,3,-280.25415802001953,11431644.25,1.0380190335787258,1.4082374572753906
223,2,57.93104553222656,23163048.0,-8.0,0.0
224,2,101.99610137939453,124521568.0,-8.0,0.0
225,3,9.328907012939453,12720563.0,-6.671010237473708,0.0
226,3,-65.16634941101074,46827209.0,-2.4052587655874396,3.0044727325439453
227,3,-310.350692987442,32354456.040039062,-1.895513241107647,0.7891979517613524
228,3,983.7732353210449,18349889.85546875,-2.984538885263296,0.5366832415262858
229,4,560.5381825764974,43373854.828125,-112.0,4.056827068328857
230,3,-83.250732421875,2908019.421875,-108.0,5.764029539781067
231,3,-447.6847858428955,96508146.28125,-2.8839460519643927,0.6764237641980161
232,3,43.451398849487305,41006908.53125,0.9403862586388207,2.279582977294922
233,2,381.1518249511719,145634688.0,-8.0,0.0
234,3,143.0398292541504,39024328.5625,-5.181739220252404,0.0606231689453125
235,2,-394.56787109375,30667606.0,-8.0,0.0
236,3,-1360.4647798538208,86881223.5,-1.1363818828876209,0.9371172587076823
237,2,20.850788116455078,6896323.0,-8.0,0.0
238,3,85.51967239379883,118796972.0,-0.14273834228515625,2.577289085199634
239,2,748.3604125976562,51832256.0,-8.0,0.0
240,2,-102.73832702636719,131006.578125,-8.0,0.0
