episode,step,current_force,accumulated_force,is_crushed,predicted_category,recommended_force,confidence,timestamp
52,0,13.303915023803711,0.0,False,optimal_grip,14.303915023803711,0.0,420.73223876953125
53,0,15.831436157226562,0.0,True,critical_force,15.0,0.0,428.7325439453125
54,0,20.98819351196289,0.0,True,critical_force,15.0,0.0,436.7496032714844
55,0,2.1154565811157227,0.0,False,under_grip,3.1154565811157227,0.0,444.788330078125
56,0,6.724867820739746,0.0,False,optimal_grip,7.724867820739746,0.0,452.80023193359375
57,0,15.021013259887695,0.0,True,critical_force,15.0,0.0,460.8165283203125
58,0,14.166364669799805,0.0,False,optimal_grip,15.0,0.0,468.85040283203125
59,0,12.57548713684082,0.0,False,optimal_grip,12.57548713684082,0.96,476.85552978515625
59,1,20.24721908569336,0.0,True,critical_force,5.0,0.86,492.8884582519531
60,0,9.399319648742676,0.0,False,optimal_grip,9.399319648742676,0.96,500.90478515625
61,0,24.612445831298828,0.0,True,critical_force,5.0,0.86,508.9132385253906
62,0,29.255722045898438,0.0,True,critical_force,5.0,0.86,516.9351196289062
63,0,24.277912139892578,0.0,True,critical_force,5.0,0.86,524.9573364257812
64,0,24.566619873046875,0.0,True,critical_force,5.0,0.86,532.9764404296875
65,0,16.404006958007812,0.0,True,critical_force,5.0,0.85,540.9824829101562
66,0,12.545770645141602,0.0,False,optimal_grip,12.545770645141602,0.96,548.9956665039062
67,0,26.503725051879883,0.0,True,critical_force,5.0,0.86,557.0234375
68,0,25.561553955078125,0.0,True,critical_force,5.0,0.86,565.0479125976562
69,0,20.71741485595703,0.0,True,critical_force,5.0,0.86,573.0699462890625
70,0,13.632043838500977,0.0,False,optimal_grip,13.632043838500977,0.96,581.0736083984375
71,0,2.8002519607543945,0.0,False,under_grip,4.8002519607543945,0.72,589.1907958984375
72,0,18.561086654663086,0.0,True,critical_force,5.0,0.86,597.2154541015625
73,0,22.373088836669922,0.0,True,critical_force,5.0,0.86,605.2321166992188
